"id","title","format","release_year","mpaa_rating","rt_critic_score","imdb_rating","metacritic_score","genre","director","country","language","runtime","plot","awards","poster_url","type","writer","actors","watch_status","tags","personal_notes","my_rating","average_score","star_rating"
124,"Mr. & Mrs. Smith","Unknown",2011,"Unrated","81","7.6","71","Action","Sci-Fi","Director L","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"7.60","3.8"
125,"Mulan","Blu-ray",2012,"PG-13","82","7.7","72","Drama","Thriller","Director M","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"7.70","3.9"
145,"Bridget Jones's Diary","Blu Ray",2001,"R","79","6.8","66","Comedy, Drama, Romance","Sharon Maguire","United Kingdom, France, Ireland, United States","English","97 min","Bridget Jones is determined to improve herself while she looks for love in a year in which she keeps a personal diary.","Nominated for 1 Oscar. 8 wins & 32 nominations total","https://m.media-amazon.com/images/M/MV5BNTM1MTFiNDEtMGYzZC00MjM5LWEwMWMtN2VhNjg1MTEzOTg3XkEyXkFqcGc@._V1_SX300.jpg","movie","Helen Fielding, Andrew Davies, Richard Curtis","Renée Zellweger, Colin Firth, Hugh Grant","Watched","Not Watched",NULL,"4.5",NULL,"3.5"
139,"Pirates of the Caribbean: The Curse of the Black Pearl","Unknown",2002,"PG","76","9.1","86","Action","Sci-Fi","Director A","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"8.43","4.2"
140,"Pirates of the Caribbean: Dead Man's Chest","Blu-ray",2003,"Unrated","77","9.2","87","Drama","Thriller","Director B","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"8.53","4.3"
23,"Chocolat","DVD",2002,"PG","72","8.7","82","Comedy","Romance","Director W","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"8.03","4.0"
126,"My Big Fat Greek Wedding","DVD",2013,"R","83","7.8","73","Comedy","Romance","Director N","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"7.80","3.9"
127,"National Treasure","Unknown",2014,"PG","84","7.9","74","Action","Sci-Fi","Director O","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"7.90","4.0"
128,"Natural Born Killers","Blu-ray",2015,"Unrated","85","8","75","Drama","Thriller","Director P","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Watched",NULL,NULL,"8.00","4.0"
129,"Newsies","DVD",2016,"PG-13","86","8.1","76","Comedy","Romance","Director Q","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"8.10","4.1"
130,"The Notebook","Unknown",2017,"R","87","8.2","77","Action","Sci-Fi","Director R","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"8.20","4.1"
132,"Ocean's Eleven","DVD",2019,"Unrated","89","8.4","79","Comedy","Romance","Director T","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"8.40","4.2"
133,"Ocean's Twelve","Unknown",2020,"PG-13","70","8.5","80","Action","Sci-Fi","Director U","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Watched",NULL,NULL,"7.83","3.9"
134,"Ocean's Thirteen","Blu-ray",2021,"R","71","8.6","81","Drama","Thriller","Director V","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"7.93","4.0"
5,"Amelie","DVD",2017,"N/A",NULL,NULL,NULL,"Short","Aurore Damant, Aurore Deman","N/A","N/A","N/A","N/A","N/A","N/A","movie","N/A","Marie Carrour","Watched","French","Russian",NULL,NULL,NULL
63,"Harry Potter and the Chamber of Secrets","DVD",2002,"PG","82","7.4","63","Adventure, Family, Fantasy","Chris Columbus","United Kingdom, United States","English, Latin","161 min","Harry Potter lives his second year at Hogwarts with Ron and Hermione when a message on the wall announces that the legendary Chamber of Secrets has been opened. The trio soon realize that, to save the school, it will take a lot of...","Won 1 BAFTA Award14 wins & 50 nominations total","https://m.media-amazon.com/images/M/MV5BNGJhM2M2MWYtZjIzMC00MDZmLThkY2EtOWViMDhhYjRhMzk4XkEyXkFqcGc@._V1_SX300.jpg","movie","J.K. Rowling, Steve Kloves","Daniel Radcliffe, Rupert Grint, Emma Watson","Watched",NULL,NULL,"4","6.48","3.7"
4,"A.I. Artificial Intelligence","Blu Ray",2001,"PG-13","76","7.2","65","Adventure Drama Sci Fi","Steven Spielberg","United States United Kingdom","English","146 min","A highly advanced robotic boy longs to become \""real\"" so that he can regain the love of his human mother.","Nominated for 2 Oscars. 18 wins & 71 nominations total","https://m.media-amazon.com/images/M/MV5BODA1YjhhZDctM2Y1ZS00ODkyLWFmMTAtZGY5YWEzNzRjYzA1XkEyXkFqcGc@._V1_SX300.jpg","movie","Brian Aldiss","Ian Watson","Watched",NULL,NULL,NULL,"7.10","3.6"
64,"Harry Potter and the Prisoner of Azkaban (Year Three)",NULL,2004,NULL,"91","7.9","82","Adventure, Family, Fantasy","Alfonso Cuarón",NULL,NULL,NULL,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",NULL,"https://m.media-amazon.com/images/M/MV5BMTY4NTIwODg0N15BMl5BanBnXkFtZTcwOTc0MjEzMw@@._V1_SX300.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.40","4.2"
65,"Harry Potter and the Goblet of Fire (Year Four)",NULL,2005,NULL,"88","7.7","81","Adventure, Family, Fantasy","Mike Newell",NULL,NULL,NULL,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.",NULL,"https://m.media-amazon.com/images/M/MV5BMTI1NDMyMjExOF5BMl5BanBnXkFtZTcwOTc4MjQzMQ@@._V1_SX300.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"8.20","4.1"
66,"Harry Potter and the Order of the Phoenix (Year Five)",NULL,2007,NULL,"78","7.5","71","Action, Adventure, Family","David Yates",NULL,NULL,NULL,"With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",NULL,"https://m.media-amazon.com/images/M/MV5BYWJmM2M1YzItMjY1Ni00YzRmLTg5YWYtNDFmNTJjNzQ0ODkyXkEyXkFqcGc@._V1_SX300.jpg",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"7.47","3.7"
158,"Alien","Blu Ray",1979,"R","93","8.5","89","Horror, Sci-Fi","Ridley Scott","United Kingdom, United States","English","117 min","After investigating a mysterious transmission of unknown origin, the crew of a commercial spacecraft encounters a deadly lifeform.","Won 1 Oscar. 19 wins & 22 nominations total","https://m.media-amazon.com/images/M/MV5BN2NhMDk2MmEtZDQzOC00MmY5LThhYzAtMDdjZGFjOGZjMjdjXkEyXkFqcGc@._V1_SX300.jpg","movie","Dan O'Bannon, Ronald Shusett","Sigourney Weaver, Tom Skerritt, John Hurt","Watched","","","4.5",NULL,"4.5"
146,"Blade Runner 2049","Blu Ray",2017,"R","88","8","81","Action, Drama, Mystery","Denis Villeneuve","United States, Canada, Spain","English","164 min","Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.","Won 2 Oscars. 100 wins & 163 nominations total","https://m.media-amazon.com/images/M/MV5BNzA1Njg4NzYxOV5BMl5BanBnXkFtZTgwODk5NjU3MzI@._V1_SX300.jpg","movie","Hampton Fancher, Michael Green, Philip K. Dick","Harrison Ford, Ryan Gosling, Ana de Armas","Watched","","","4.5",NULL,"4.1"
141,"Pirates of the Caribbean: At World's End","DVD",2004,"PG-13","78","9.3","88","Comedy","Romance","Director C","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"8.63","4.3"
142,"Pleasantville","Unknown",2005,"R","79","9.4","89","Action","Sci-Fi","Director D","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"8.73","4.4"
143,"The Prestige","Blu-ray",2006,"PG","80","6.5","60","Drama","Thriller","Director E","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Watched",NULL,NULL,"6.83","3.4"
62,"Harry Potter and the Sorcerer's Stone","DVD",2001,"PG","80","7.7","65","Adventure, Family, Fantasy","Chris Columbus","United Kingdom, United States","English, Latin","152 min","An orphaned boy enrolls in a school of wizardry, where he learns the truth about himself, his family and the terrible evil that haunts the magical world.","Nominated for 3 Oscars. 20 wins & 74 nominations total","https://m.media-amazon.com/images/M/MV5BNTU1MzgyMDMtMzBlZS00YzczLThmYWEtMjU3YmFlOWEyMjE1XkEyXkFqcGc@._V1_SX300.jpg","movie","J.K. Rowling, Steve Kloves","Daniel Radcliffe, Rupert Grint, Emma Watson","Watched",NULL,NULL,"4","6.55","3.7"
150,"Goldmember","Blu Ray",2002,"PG-13","52","6.2","62","Action, Adventure, Comedy","Jay Roach","United States","English, Japanese, German, French","94 min","Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil.","5 wins & 23 nominations total","https://m.media-amazon.com/images/M/MV5BYTUwYjI0YzctMGI5Yy00NGU5LTgwMGUtMzE1OWZhYmRlMjMyXkEyXkFqcGc@._V1_SX300.jpg","movie","Mike Myers, Michael McCullers","Mike Myers, Beyoncé, Seth Green","Watched","","","1.5",NULL,"2.9"
159,"Aliens","Blu Ray",1986,"R","94","8.4","84","Action, Adventure, Horror","James Cameron","United Kingdom, United States","English, Spanish","137 min","Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","Won 2 Oscars. 20 wins & 25 nominations total","https://m.media-amazon.com/images/M/MV5BZjIyNGJhYzYtN2I1My00OTVhLWEyMzItZTVjNDMzOTVkYWViXkEyXkFqcGc@._V1_SX300.jpg","movie","James Cameron, David Giler, Walter Hill","Sigourney Weaver, Michael Biehn, Carrie Henn","Watched","","","4",NULL,"4.4"
1,"28 Weeks Later","Blu Ray",2007,"R","72","6.9","78","Horror, Sci-Fi","Juan Carlos Fresnadillo","United Kingdom, Spain, United States","English","100 min","Six months after the rage virus was inflicted on the population of Great Britain, the US Army helps to secure a small area of London for the survivors to repopulate and start again. But not everything goes according to plan.","3 wins & 16 nominations total","https://m.media-amazon.com/images/M/MV5BMTUxMjc2MTcxNV5BMl5BanBnXkFtZTcwMzgzOTY0MQ@@._V1_SX300.jpg","movie","Rowan Joffe, Juan Carlos Fresnadillo, Enrique López Lavigne","Jeremy Renner, Rose Byrne, Robert Carlyle","Watched","United States","English","4.5","6.60","3.7"
14,"Borat","DVD",2006,"R","90","7.4","89","Comedy","Larry Charles","United States, United Kingdom","English, Romanian, Hebrew, Polish, Armenian","84 min","Kazakh TV talking head Borat is dispatched to the United States to report on the greatest country in the world.","Nominated for 1 Oscar. 20 wins & 34 nominations total","https://m.media-amazon.com/images/M/MV5BMTk0MTQ3NDQ4Ml5BMl5BanBnXkFtZTcwOTQ3OTQzMw@@._V1_SX300.jpg","movie","Sacha Baron Cohen, Anthony Hines, Peter Baynham","Sacha Baron Cohen, Ken Davitian, Luenell","English","Romanian","Hebrew","3","6.63","4.2"
17,"Blade Runner","Blu Ray",1982,"R","89","8.1","84","Action, Drama, Sci-Fi","Ridley Scott","United States, United Kingdom","English, German, Cantonese, Japanese, Hungarian, Arabic, Korean","117 min","A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.","Nominated for 2 Oscars. 13 wins & 22 nominations total","https://m.media-amazon.com/images/M/MV5BOWQ4YTBmNTQtMDYxMC00NGFjLTkwOGQtNzdhNmY1Nzc1MzUxXkEyXkFqcGc@._V1_SX300.jpg","movie","Hampton Fancher, David Webb Peoples, Philip K. Dick","Harrison Ford, Rutger Hauer, Sean Young","Watched",NULL,NULL,"5","8.10","4.2"
10,"Batman","Blu Ray",1989,"PG-13","77","7.5","69","Action","Adventure","Tim Burton","United States","Watched","Spanish",NULL,NULL,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier","a criminal who becomes the clownishly homicidal Joker.","126 min","United Kingdom","English","French",NULL,"7.37","3.7"
147,"Austin Powers","Blu Ray",1997,"PG-13","73","7","51","Adventure, Comedy","Jay Roach","Germany, United States","English","89 min","A world-class playboy and part-time secret agent from the 1960s emerges after thirty years in a cryogenic state to battle with his nemesis Dr. Evil.","3 wins & 8 nominations total","https://m.media-amazon.com/images/M/MV5BODQzM2UwODQtMzg1ZC00MTk4LTlkOTEtYzU4NDFhYmM1MWJkXkEyXkFqcGc@._V1_SX300.jpg","movie","Mike Myers","Mike Myers, Elizabeth Hurley, Michael York","Watched","","","3",NULL,"3.2"
15,"The Bourne Identity","Unknown",2002,"PG-13","84","7.8","68","Action","Mystery","Thriller","Doug Liman","French","English","German","Dutch","Italian","Yoruba","Not Watched","Czech Republic","Germany","United States",NULL,"7.67","3.8"
19,"Casino Royale","Blu-ray",2018,"PG","88","8.3","78","Drama","Thriller","Director S","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"8.30","4.2"
21,"Chicago","Unknown",2000,"PG-13","70","8.5","80","Action","Sci-Fi","Director U","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Watched",NULL,NULL,"7.83","3.9"
22,"Children of Men","Blu-ray",2001,"R","71","8.6","81","Drama","Thriller","Director V","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"7.93","4.0"
160,"Alien Resurrection","Blu Ray",1997,"R","55","6.2","62","Action, Horror, Sci-Fi","Jean-Pierre Jeunet","United States","English, Spanish","109 min","Two centuries after her death, a powerful human/alien hybrid clone of Ellen Ripley aids a crew of space pirates in stopping the aliens from reaching Earth.","7 wins & 21 nominations total","https://m.media-amazon.com/images/M/MV5BNDMyNmU5ZGQtNzhiZi00NjRjLTk3NGUtMmQ5YWU4ODlkNTBhXkEyXkFqcGc@._V1_SX300.jpg","movie","Dan O'Bannon, Ronald Shusett, Joss Whedon","Sigourney Weaver, Winona Ryder, Dominique Pinon","Not Watched","","","3",NULL,"3.0"
18,"Captain Ron","Unknown",1992,"PG-13","26","5.8","39","Adventure","Comedy","Thom Eberhardt","United States","A Chicagoan inherits an old yacht. He",NULL,"his wife","daughter and son fly to a Caribbean island and hire a dubious Captain Ron to sail them on an adventure to Miami.","100 min","2 nominations total","https://m.media-amazon.com/images/M/MV5BNjRkODU5NTYtMmI5ZS00MmYwLTlkYjItMGVmNTBkZDYzODgwXkEyXkFqcGc@._V1_SX300.jpg","English","Not Watched",NULL,NULL,"4.10","4.1"
12,"Belly","DVD",1998,"R","23","6.2","36","Crime","Drama","Hype Williams","United States","Two young friends involved in organized crime and drug dealing find that their priorities differ.",NULL,"96 min","1 nomination","https://m.media-amazon.com/images/M/MV5BMzVjYjVlYWEtYzg5Ny00NGI1LTgyYmMtOTU4YWM5ZDgxMjE5XkEyXkFqcGc@._V1_SX300.jpg","movie","Anthony Bodden","English","Watched",NULL,NULL,"4.03","4.0"
20,"Cast Away","DVD",2000,"PG-13","88","7.8","74","Adventure","Drama","Romance","Robert Zemeckis",NULL,"Not Watched",NULL,"A FedEx executive undergoes a physical and emotional transformation after crash landing on a deserted island.","143 min","Nominated for 2 Oscars. 15 wins & 36 nominations total","https://m.media-amazon.com/images/M/MV5BOGNjNDI5ZGQtZjRjMy00NzQyLWFiYzQtYjcwNjM3ZDYwNThhXkEyXkFqcGc@._V1_SX300.jpg","United States","English","Russian",NULL,"8.00","4.0"
152,"Back To The Future","Blu Ray",1985,"PG","93","8.5","87","Adventure, Comedy, Sci-Fi","Robert Zemeckis","United States","English","116 min","Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","Won 1 Oscar. 27 wins & 25 nominations total","https://m.media-amazon.com/images/M/MV5BZmM3ZjE0NzctNjBiOC00MDZmLTgzMTUtNGVlOWFlOTNiZDJiXkEyXkFqcGc@._V1_SX300.jpg","movie","Robert Zemeckis, Bob Gale","Michael J. Fox, Christopher Lloyd, Lea Thompson","Watched","","","4",NULL,"4.4"
29,"The Da Vinci Code","DVD",2006,"PG-13","25","6.6","46","Mystery","Thriller","Ron Howard","United States","French","English","Latin","Spanish","Not Watched",NULL,NULL,"Malta","France","United Kingdom",NULL,"4.57","4.6"
33,"Death to Smoochy","Unknown",2002,"R","42","6.3","38","Comedy","Crime","Drama","Danny DeVito","English","Canada","Not Watched",NULL,NULL,"A kids'' show host","Rainbow Randolph","United Kingdom","Germany","United States",NULL,"4.77","4.8"
2,"About a Boy","DVD",2002,"PG-13","93","7.1","75","Comedy, Drama, Romance","Chris Weitz, Paul Weitz","United Kingdom, France, United States","English","101 min","Will, who attends single parent meetings to woo women, meets Marcus, a troubled 12-year-old boy. As they become friends, Will learns to be responsible while he helps Marcus with his studies.","Nominated for 1 Oscar. 11 wins & 30 nominations total","https://m.media-amazon.com/images/M/MV5BMTQ2Mzg4MDAzNV5BMl5BanBnXkFtZTgwMjcxNTYxMTE@._V1_SX300.jpg","movie","Nick Hornby, Peter Hedges, Chris Weitz","Hugh Grant, Nicholas Hoult, Toni Collette","Watched","Watched",NULL,"3.5","6.85","4.0"
8,"Argo","DVD",2012,"R","96",NULL,"86","Biography Drama History","Ben Affleck","United Kingdom United States","English Persian German Arabic","a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1979.","Acting under the cover of a Hollywood producer scouting a location for a science fiction film","120 min","Won 3 Oscars. 96 wins & 156 nominations total","movie","movie","Chris Terrio","Watched",NULL,NULL,"4","8.63","4.3"
154,"Back To The Future II","Blu Ray",1989,"Unrated",NULL,"6.7",NULL,"Short","N/A","USA","English","7 min","N/A","N/A","N/A","movie","N/A","Rick Carter, Michael J. Fox, Bob Gale, Lea Thompson","Watched","","","3",NULL,"3.4"
3,"Across the Universe","Unknown",2007,"PG-13","53","7.3","56","Drama Fantasy History","Julie Taymor","United Kingdom United States","English","New York in the 1960s","The music of The Beatles","and the American youth''s actions to protest the Vietnam War","form the backdrop for the romance between an upper-class American girl and a poor Liverpudlian artist.","133 min","Nominated for 1 Oscar. 2 wins & 18 nominations total","https://m.media-amazon.com/images/M/MV5BYTEyZTAyMjAtYjAwMi00YTkzLWE0MTAtYzZiNjY5YTcyMzlhXkEyXkFqcGc@._V1_SX300.jpg","Watched",NULL,NULL,NULL,"6.07","3.0"
24,"Clockwatchers","Unknown",1997,"PG-13","87","6.6","64","Comedy","Drama","Jill Sprecher","United Kingdom",NULL,NULL,"The relationship between four female temps all working for the same credit company is threatened with the arrival of a new hire","who lands a permanent position one of the women was vying for.","96 min","2 wins & 1 nomination","https://m.media-amazon.com/images/M/MV5BODM4ZTk2YzEtZDFkNy00MTc5LWEzMGEtNjY0ZGQ4MWU4NGYzXkEyXkFqcGc@._V1_SX300.jpg","United States","English","Not Watched",NULL,"7.23","3.6"
25,"Connie and Carla","Blu-ray",2004,"PG-13","74","8.9","84","Drama","Thriller","Director Y","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"8.23","4.1"
26,"Crouching Tiger, Hidden Dragon","DVD",2005,"R","75","9","85","Comedy","Romance","Director Z","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Watched",NULL,NULL,"8.33","4.2"
27,"The Dark Knight","Unknown",2008,"PG-13","94","9","84","Action","Crime","Drama","Christopher Nolan","Not Watched","Mandarin",NULL,NULL,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham","Batman","James Gordon and Harvey Dent must work together to put an end to the madness.","United States","United Kingdom","English",NULL,"8.93","4.5"
28,"The Dark Knight Rises","Blu Ray",2012,"PG-13","87","8.4","78","Action","Crime","Drama","Christopher Nolan","Not Watched","Arabic",NULL,NULL,"Bane","an imposing terrorist","attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.","United States","United Kingdom","English",NULL,"8.30","4.2"
30,"Dawn of the Dead","Unknown",2009,"R","79","9.4","89","Action","Sci-Fi","Director D","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"8.73","4.4"
31,"Deadpool","Blu-ray",2010,"PG","80","6.5","60","Drama","Thriller","Director E","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Watched",NULL,NULL,"6.83","3.4"
32,"Death Proof","DVD",2011,"Unrated","81","6.6","61","Comedy","Romance","Director F","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"6.93","3.5"
34,"The Departed","Blu-ray",2013,"R","83","6.8","63","Drama","Thriller","Director H","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"7.13","3.6"
35,"The Devil's Rejects","DVD",2014,"PG","84","6.9","64","Comedy","Romance","Director I","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"7.23","3.6"
69,"High Fidelity","Blu-ray",2010,"R","79","7.4","69","Drama","Thriller","Director J","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"7.40","3.7"
70,"High School Musical","DVD",2011,"PG","80","7.5","70","Comedy","Romance","Director K","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Watched",NULL,NULL,"7.50","3.8"
71,"High School Musical 2","Unknown",2012,"Unrated","81","7.6","71","Action","Sci-Fi","Director L","UK",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"7.60","3.8"
72,"High School Musical 3: Senior Year","Blu-ray",2013,"PG-13","82","7.7","72","Drama","Thriller","Director M","USA",NULL,NULL,NULL,NULL,NULL,NULL,NULL,"English","Not Watched",NULL,NULL,"7.70","3.9"
